"","Fault Code","Event Description","zoneID"
"Oberon AGC","1411","SEND AGC 11 TO MAINT","5"
"Oberon AGC","1412","SEND AGC 12 TO MAINT","5"
"Oberon AGC","1413","SEND AGC 13 TO MAINT","5"
"Oberon AGC","1414","SEND AGC 14 TO MAINT","5"
"Oberon AGC","2001","BLOCKED - AGC 1","5"
"Oberon AGC","2002","BLOCKED - AGC 2","5"
"Oberon AGC","2003","BLOCKED - AGC 3","5"
"Oberon AGC","2004","BLOCKED - AGC 4","5"
"Oberon AGC","2005","BLOCKED - AGC 5","5"
"Oberon AGC","2006","BLOCKED - AGC 6","5"
"Oberon AGC","2007","BLOCKED - AGC 7","5"
"Oberon AGC","2008","BLOCKED - AGC 8","5"
"Oberon AGC","2009","BLOCKED - AGC 9","5"
"Oberon AGC","2010","BLOCKED - AGC 10","5"
"Oberon AGC","2011","BLOCKED - AGC 11","5"
"Oberon AGC","2012","BLOCKED - AGC 12","5"
"Oberon AGC","2013","BLOCKED - AGC 13","5"
"Oberon AGC","2014","BLOCKED - AGC 14","5"
"Conveyor Zone 3","2101","MECH FAULT - STA 41","8"
"Conveyor Zone 1","2101","MECH FAULT - STA 11","6"
"Conveyor Zone 2","2101","MECH FAULT - STA 31","7"
"Conveyor Zone 2","2102","MECH FAULT - STA 32","7"
"Conveyor Zone 1","2102","MECH FAULT - STA 12","6"
"Conveyor Zone 3","2102","MECH FAULT - STA 42","8"
"Conveyor Zone 3","2103","MECH FAULT - STA 43","8"
"Conveyor Zone 1","2103","MECH FAULT - STA 13","6"
"Conveyor Zone 2","2103","MECH FAULT - STA 33","7"
"Conveyor Zone 2","2104","MECH FAULT - STA 34","7"
"Conveyor Zone 1","2104","MECH FAULT - STA 14","6"
"Conveyor Zone 3","2104","MECH FAULT - STA 44","8"
"Conveyor Zone 3","2105","MECH FAULT - STA 45","8"
"Conveyor Zone 1","2105","MECH FAULT - STA 15","6"
"Conveyor Zone 2","2105","MECH FAULT - STA 35","7"
"Conveyor Zone 2","2106","MECH FAULT - STA 36","7"
"Conveyor Zone 1","2106","MECH FAULT - STA 16","6"
"Conveyor Zone 3","2106","MECH FAULT - STA 46","8"
"Conveyor Zone 3","2107","MECH FAULT - STA 47","8"
"Conveyor Zone 1","2107","MECH FAULT - STA 17","6"
"Conveyor Zone 2","2107","MECH FAULT - STA 37","7"
"Conveyor Zone 2","2108","MECH FAULT - STA 38","7"
"Conveyor Zone 1","2108","MECH FAULT - STA 18","6"
"Conveyor Zone 3","2108","MECH FAULT - STA 48","8"
"Conveyor Zone 3","2109","MECH FAULT - STA 49","8"
"Conveyor Zone 1","2109","MECH FAULT - STA 19","6"
"Conveyor Zone 2","2109","MECH FAULT - STA 39","7"
"Conveyor Zone 2","2110","MECH FAULT - STA 40","7"
"Conveyor Zone 1","2110","MECH FAULT - STA 20","6"
"Conveyor Zone 3","2110","MECH FAULT - STA 50","8"
"Conveyor Zone 3","2111","MECH FAULT - STA 51","8"
"Conveyor Zone 1","2111","MECH FAULT - STA 21","6"
"Conveyor Zone 2","2111","MECH FAULT - REPAIR IN","7"
"Conveyor Zone 2","2112","MECH FAULT - REPAIR OUT","7"
"Conveyor Zone 1","2112","MECH FAULT - STA 22","6"
"Conveyor Zone 3","2112","MECH FAULT - STA 52","8"
"Conveyor Zone 3","2113","MECH FAULT - STA 53","8"
"Conveyor Zone 1","2113","MECH FAULT - STA 23","6"
"Conveyor Zone 2","2113","MECH FAULT TCI","7"
"Conveyor Zone 1","2114","MECH FAULT - STA 24","6"
"Conveyor Zone 3","2114","MECH FAULT - STA 54","8"
"Conveyor Zone 3","2115","MECH FAULT - STA 55","8"
"Conveyor Zone 1","2115","MECH FAULT - STA 25","6"
"Conveyor Zone 1","2116","MECH FAULT - STA 26","6"
"Conveyor Zone 3","2116","MECH FAULT - STA 56","8"
"Conveyor Zone 3","2117","MECH FAULT - STA 57","8"
"Conveyor Zone 1","2117","MECH FAULT - STA 27","6"
"Conveyor Zone 1","2118","MECH FAULT - STA 28","6"
"Conveyor Zone 3","2118","MECH FAULT - STA 58","8"
"Conveyor Zone 3","2119","MECH FAULT - STA 59","8"
"Conveyor Zone 1","2119","MECH FAULT - STA 29","6"
"Conveyor Zone 1","2120","MECH FAULT - STA 30","6"
"Conveyor Zone 3","2120","MECH FAULT - STA 60","8"
"Conveyor Zone 3","2121","MECH FAULT - REPAIR IN/OUT","8"
"Conveyor Zone 1","2121","STA 11 SAFETY SCANNER","6"
"Conveyor Zone 1","2122","STA 24 SAFETY SCANNER","6"
"Conveyor Zone 1","2123","STA 28 SAFETY SCANNER","6"
"Conveyor Zone 1","5001","COM FAULT - CONV ZONE 1","6"
"Conveyor Zone 3","5001","COM FAULT - CONV ZONE 3","8"
"Oberon AGC","5001","COM FAULT - AGC 1","5"
"Conveyor Zone 2","5001","COM FAULT - CONV ZONE 2","7"
"Oberon AGC","5002","COM FAULT - AGC 2","5"
"Oberon AGC","5003","COM FAULT - AGC 3","5"
"Oberon AGC","5004","COM FAULT - AGC 4","5"
"Oberon AGC","5005","COM FAULT - AGC 5","5"
"Oberon AGC","5006","COM FAULT - AGC 6","5"
"Oberon AGC","5007","COM FAULT - AGC 7","5"
